"recording_id","file_name","export_file_name"
26236,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1083.wav","Soundscape_VeMo_XXXXXXXX_26236"
26237,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1084.wav","Soundscape_VeMo_XXXXXXXX_26237"
26238,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1085.wav","Soundscape_VeMo_XXXXXXXX_26238"
26239,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1086.wav","Soundscape_VeMo_XXXXXXXX_26239"
26240,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1087.wav","Soundscape_VeMo_XXXXXXXX_26240"
26241,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1088.wav","Soundscape_VeMo_XXXXXXXX_26241"
26242,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1089.wav","Soundscape_VeMo_XXXXXXXX_26242"
26243,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1090.wav","Soundscape_VeMo_XXXXXXXX_26243"
26244,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1091.wav","Soundscape_VeMo_XXXXXXXX_26244"
26245,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1092.wav","Soundscape_VeMo_XXXXXXXX_26245"
26246,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1093.wav","Soundscape_VeMo_XXXXXXXX_26246"
26247,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1094.wav","Soundscape_VeMo_XXXXXXXX_26247"
26248,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1095.wav","Soundscape_VeMo_XXXXXXXX_26248"
26249,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1096.wav","Soundscape_VeMo_XXXXXXXX_26249"
26250,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1097.wav","Soundscape_VeMo_XXXXXXXX_26250"
26251,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1098.wav","Soundscape_VeMo_XXXXXXXX_26251"
26252,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1099.wav","Soundscape_VeMo_XXXXXXXX_26252"
26253,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1100.wav","Soundscape_VeMo_XXXXXXXX_26253"
26254,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1101.wav","Soundscape_VeMo_XXXXXXXX_26254"
26255,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1102.wav","Soundscape_VeMo_XXXXXXXX_26255"
26256,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1103.wav","Soundscape_VeMo_XXXXXXXX_26256"
26257,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1104.wav","Soundscape_VeMo_XXXXXXXX_26257"
26258,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1105.wav","Soundscape_VeMo_XXXXXXXX_26258"
26259,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1106.wav","Soundscape_VeMo_XXXXXXXX_26259"
26260,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1107.wav","Soundscape_VeMo_XXXXXXXX_26260"
26261,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1108.wav","Soundscape_VeMo_XXXXXXXX_26261"
26262,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1109.wav","Soundscape_VeMo_XXXXXXXX_26262"
26263,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1110.wav","Soundscape_VeMo_XXXXXXXX_26263"
26264,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1111.wav","Soundscape_VeMo_XXXXXXXX_26264"
26265,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1112.wav","Soundscape_VeMo_XXXXXXXX_26265"
26266,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1113.wav","Soundscape_VeMo_XXXXXXXX_26266"
26267,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1114.wav","Soundscape_VeMo_XXXXXXXX_26267"
26268,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1115.wav","Soundscape_VeMo_XXXXXXXX_26268"
26269,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1116.wav","Soundscape_VeMo_XXXXXXXX_26269"
26270,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1117.wav","Soundscape_VeMo_XXXXXXXX_26270"
